   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02673380, -0.00840346, 0.07341898, 0.77086200,  0.10589667, -9.01603423, 47.37821199, 2.87302002, 2.77000009
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03811447, -0.01590796, 0.01402428, 1.03517336,  0.10334127, -8.99914745, 47.41266323, 3.21492098, 1.52504565
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03410934, 0.01109079, -0.00804296, 0.77558761,  0.11184639, -8.75683907, 47.43364580, 3.12587328, 0.94883017
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03270134, 0.00801766, -0.02573648, 0.69199440,  -0.06629471, -9.04559285, 47.46191445, 2.51096501, 1.29763152
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00766482, 0.00662327, 0.01550604, 0.61882146,  -0.04079439, -9.42909798, 47.46550220, 2.76239179, 0.13194179
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00376574, -0.00554856, -0.00830302, 0.81652777,  -0.09190125, -9.47851259, 47.34279886, 2.23152498, 3.78177320
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01305981, 0.00525861, -0.00406666, 1.12560390,  -0.11687853, -9.89682632, 47.37113670, 3.22609956, 2.48793186
45.41820704, 11.86790322, 170.91238294, 13.15703617, 7.90172559, 1.42828221, 0.01328348, 0.01372221, 0.00055265, 1.28658570,  0.05705608, -9.88743498, 47.42293404, 2.94430371, 1.73738854
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00664979, 0.00224736, 0.00003830, 1.45317405,  -0.23754195, -9.98170364, 47.39628141, 3.27620357, 1.86577465
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02479991, -0.00778510, -0.00720825, 0.78207699,  -0.17444055, -10.27513189, 47.43370951, 1.87788579, 2.67186502
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01566768, 0.00708949, 0.02501084, 0.59803423,  -0.23933219, -10.43575033, 47.46217947, 2.26550512, 1.68259411
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04059065, 0.01707287, 0.02190732, 0.08011975,  -0.22152762, -10.07549531, 47.47076157, 2.27367523, 1.40688068
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01033232, 0.01605813, 0.00892916, -0.02969423,  -0.02951625, -9.69952872, 47.48960817, 1.45211905, 1.80293718
